home,ratings,bedrooms,beds,baths,house_type,city,price
Rental unit in Austin ,New,,1.0,1.0,Rental unit,Austin ,99
Home in Austin ,New,1 bedroom,1.0,1.0,Home,Austin ,35
Guesthouse in Austin ,New,1 bedroom,1.0,1.0,Guesthouse,Austin ,95
Home in Austin ,New,3 bedrooms,2.0,3.0,Home,Austin ,300
Home in Austin ,New,2 bedrooms,3.0,2.5,Home,Austin ,251
Home in Austin ,New,1 bedroom,1.0,2.0,Home,Austin ,75
Home in Austin ,New,3 bedrooms,2.0,4.0,Home,Austin ,343
Home in Austin ,New,1 bedroom,1.0,0.5,Home,Austin ,85
Home in Austin ,New,4 bedrooms,4.0,3.5,Home,Austin ,160
Home in Austin ,New,1 bedroom,1.0,0.5,Home,Austin ,65
Rental unit in Austin ,New,2 bedrooms,3.0,1.0,Rental unit,Austin ,171
Home in Austin ,New,2 bedrooms,2.0,2.5,Home,Austin ,244
Home in Austin ,New,3 bedrooms,3.0,2.0,Home,Austin ,700
Home in Austin ,New,3 bedrooms,3.0,2.5,Home,Austin ,111
Guesthouse in Austin ,New,1 bedroom,1.0,1.0,Guesthouse,Austin ,102
Home in Austin ,New,2 bedrooms,2.0,1.0,Home,Austin ,165
Home in Austin ,New,1 bedroom,1.0,1.0,Home,Austin ,160
Condo in Austin ,New,1 bedroom,1.0,1.0,Condo,Austin ,167
Home in Austin ,New,3 bedrooms,4.0,2.0,Home,Austin ,108
Home in Austin ,New,3 bedrooms,3.0,2.0,Home,Austin ,88
Home in Austin ,New,3 bedrooms,4.0,2.0,Home,Austin ,466
Home in Austin ,New,4 bedrooms,1.0,2.0,Home,Austin ,353
Home in Austin ,New,1 bedroom,1.0,0.5,Home,Austin ,80
Home in Austin ,New,1 bedroom,1.0,1.0,Home,Austin ,57
Cottage in Austin ,New,3 bedrooms,4.0,2.0,Cottage,Austin ,119
Home in Austin ,New,1 bedroom,1.0,0.5,Home,Austin ,100
Home in Austin ,New,2 bedrooms,3.0,1.0,Home,Austin ,120
Bus in Austin ,New,1 bedroom,1.0,1.0,Bus,Austin ,77
Rental unit in Austin ,New,2 bedrooms,2.0,1.0,Rental unit,Austin ,139
Home in Austin ,New,1 bedroom,1.0,1.5,Home,Austin ,73
Home in Austin ,New,3 bedrooms,2.0,1.0,Home,Austin ,124
Rental unit in Austin ,New,2 bedrooms,2.0,1.0,Rental unit,Austin ,380
Home in Austin ,New,2 bedrooms,2.0,2.5,Home,Austin ,750
Campsite in Austin ,New,,,0.0,Campsite,Austin ,45
Home in Austin ,New,3 bedrooms,2.0,2.5,Home,Austin ,170
Home in Austin ,New,1 bedroom,1.0,0.5,Home,Austin ,80
Rental unit in Austin ,New,1 bedroom,3.0,1.0,Rental unit,Austin ,92
Rental unit in Austin ,New,1 bedroom,1.0,1.0,Rental unit,Austin ,50
Home in Austin ,New,4 bedrooms,5.0,3.5,Home,Austin ,602
Home in Austin ,New,2 bedrooms,3.0,2.5,Home,Austin ,414
Camper/RV in Austin ,New,1 bedroom,3.0,1.0,Camper/RV,Austin ,88
Rental unit in Austin ,New,2 bedrooms,2.0,2.0,Rental unit,Austin ,112
Home in Austin ,New,3 bedrooms,3.0,2.0,Home,Austin ,205
Rental unit in Austin ,New,3 bedrooms,4.0,3.0,Rental unit,Austin ,105
Home in Austin ,New,1 bedroom,1.0,1.0,Home,Austin ,50
Home in Austin ,New,2 bedrooms,2.0,1.0,Home,Austin ,90
Home in Austin ,New,2 bedrooms,2.0,1.5,Home,Austin ,96
Townhouse in Austin ,New,3 bedrooms,3.0,3.5,Townhouse,Austin ,272
Home in Austin ,New,3 bedrooms,3.0,2.5,Home,Austin ,194
Rental unit in Austin ,New,1 bedroom,1.0,1.0,Rental unit,Austin ,85
Home in Austin ,New,4 bedrooms,6.0,2.0,Home,Austin ,190
Home in Austin ,New,5 bedrooms,4.0,3.0,Home,Austin ,513
Rental unit in Austin ,New,1 bedroom,2.0,1.0,Rental unit,Austin ,80
Rental unit in Austin ,New,1 bedroom,2.0,1.0,Rental unit,Austin ,127
"Home in Austin,  ",New,1 bedroom,,1.0,Home,"Austin,  ",156
Home in Austin ,New,3 bedrooms,3.0,1.0,Home,Austin ,160
Home in Austin ,New,4 bedrooms,5.0,2.5,Home,Austin ,111
Home in Austin ,New,3 bedrooms,3.0,2.5,Home,Austin ,154
Home in Austin ,New,2 bedrooms,2.0,1.0,Home,Austin ,117
Home in Austin ,New,3 bedrooms,3.0,3.0,Home,Austin ,378
Home in Austin ,New,1 bedroom,1.0,1.0,Home,Austin ,159
Guesthouse in Austin ,New,1 bedroom,1.0,1.0,Guesthouse,Austin ,106
Home in Austin ,New,4 bedrooms,3.0,2.0,Home,Austin ,104
Home in Austin ,New,2 bedrooms,3.0,1.0,Home,Austin ,95
Home in Austin ,New,1 bedroom,1.0,1.0,Home,Austin ,45
Rental unit in Austin ,New,1 bedroom,1.0,1.0,Rental unit,Austin ,70
Condo in Austin ,New,2 bedrooms,3.0,2.0,Condo,Austin ,180
Rental unit in Austin ,New,1 bedroom,2.0,1.0,Rental unit,Austin ,48
Home in Austin ,New,3 bedrooms,3.0,2.0,Home,Austin ,165
Condo in Austin ,New,2 bedrooms,3.0,2.0,Condo,Austin ,229
Home in Austin ,New,1 bedroom,3.0,1.0,Home,Austin ,99
Home in Austin ,New,3 bedrooms,3.0,2.0,Home,Austin ,200
Home in Austin ,New,1 bedroom,1.0,1.0,Home,Austin ,74
Condo in Austin ,New,1 bedroom,1.0,1.0,Condo,Austin ,155
Home in Austin ,New,4 bedrooms,4.0,4.0,Home,Austin ,672
Townhouse in Austin ,New,1 bedroom,1.0,1.5,Townhouse,Austin ,250
