home,ratings,bedrooms,beds,baths,house_type,city,price
Guesthouse in Austin ,4.84,1 bedroom,2.0,1.0,Guesthouse,Austin ,126
Home in Austin ,4.90,1 bedroom,1.0,0.5,Home,Austin ,45
Guesthouse in Austin ,4.97,,1.0,1.0,Guesthouse,Austin ,57
Guesthouse in Austin ,4.97,1 bedroom,2.0,1.0,Guesthouse,Austin ,159
Guest suite in Austin ,4.56,1 bedroom,1.0,1.0,Guest suite,Austin ,48
Home in Austin ,5.0,2 bedrooms,2.0,2.0,Home,Austin ,123
Bungalow in Austin ,5.0,3 bedrooms,2.0,2.0,Bungalow,Austin ,107
Guesthouse in Austin ,4.94,1 bedroom,1.0,1.0,Guesthouse,Austin ,65
Guesthouse in Austin ,4.91,2 bedrooms,2.0,1.0,Guesthouse,Austin ,250
Bungalow in Austin ,4.94,2 bedrooms,2.0,1.0,Bungalow,Austin ,180
Home in Austin ,4.87,1 bedroom,1.0,1.0,Home,Austin ,33
Home in Austin ,4.92,2 bedrooms,2.0,2.0,Home,Austin ,450
Home in Austin ,5.0,1 bedroom,1.0,0.5,Home,Austin ,43
Condo in Austin ,4.88,2 bedrooms,3.0,1.0,Condo,Austin ,101
Guesthouse in Austin ,4.91,1 bedroom,3.0,1.0,Guesthouse,Austin ,106
Condo in Austin ,4.96,1 bedroom,2.0,1.5,Condo,Austin ,154
Guesthouse in Austin ,4.98,1 bedroom,1.0,1.0,Guesthouse,Austin ,134
Guesthouse in Austin ,4.89,1 bedroom,3.0,1.0,Guesthouse,Austin ,165
Guesthouse in Austin ,4.91,1 bedroom,1.0,1.0,Guesthouse,Austin ,135
Townhouse in Austin ,4.89,2 bedrooms,4.0,2.5,Townhouse,Austin ,297
Rental unit in Austin ,4.88,2 bedrooms,2.0,2.0,Rental unit,Austin ,111
Home in Austin ,4.82,1 bedroom,1.0,1.0,Home,Austin ,118
Guesthouse in Austin ,4.97,1 bedroom,2.0,1.0,Guesthouse,Austin ,130
Guest suite in Austin ,4.96,1 bedroom,2.0,1.0,Guest suite,Austin ,125
Home in Austin ,4.96,5 bedrooms,1.0,3.0,Home,Austin ,400
Home in Austin ,4.94,3 bedrooms,5.0,2.0,Home,Austin ,400
Home in Austin ,,1 bedroom,1.0,1.0,Home,Austin ,104
Home in Austin ,4.68,2 bedrooms,2.0,1.0,Home,Austin ,179
Home in Austin ,4.99,4 bedrooms,4.0,3.0,Home,Austin ,750
Home in Austin ,4.20,5 bedrooms,4.0,1.0,Home,Austin ,240
Home in Austin ,4.86,3 bedrooms,4.0,1.0,Home,Austin ,75
Home in Austin ,4.98,1 bedroom,1.0,1.0,Home,Austin ,129
Rental unit in Austin ,4.78,,2.0,1.0,Rental unit,Austin ,114
Guesthouse in Austin ,4.97,1 bedroom,1.0,1.0,Guesthouse,Austin ,127
Bungalow in Austin ,4.81,2 bedrooms,2.0,1.0,Bungalow,Austin ,168
Bungalow in Austin ,4.71,3 bedrooms,3.0,1.0,Bungalow,Austin ,225
Home in Austin ,4.25,3 bedrooms,4.0,2.0,Home,Austin ,300
Home in Austin ,4.96,1 bedroom,1.0,0.5,Home,Austin ,52
Condo in Austin ,4.67,2 bedrooms,1.0,1.0,Condo,Austin ,81
Home in Austin ,4.86,4 bedrooms,5.0,2.0,Home,Austin ,360
Home in Austin ,4.73,2 bedrooms,3.0,1.0,Home,Austin ,174
Home in Austin ,4.57,1 bedroom,2.0,0.5,Home,Austin ,84
Guest suite in Austin ,4.83,1 bedroom,2.0,1.0,Guest suite,Austin ,98
Home in Austin Texas ,4.97,2 bedrooms,3.0,1.0,Home,Austin Texas ,150
Bed and breakfast in Austin ,4.63,1 bedroom,1.0,1.5,Bed and breakfast,Austin ,57
Townhouse in Austin ,4.93,2 bedrooms,2.0,1.0,Townhouse,Austin ,250
Bungalow in Austin ,4.87,1 bedroom,1.0,1.0,Bungalow,Austin ,126
Home in Austin ,,3 bedrooms,3.0,1.0,Home,Austin ,259
Home in Austin ,4.94,3 bedrooms,3.0,2.0,Home,Austin ,295
Bungalow in Austin ,4.90,2 bedrooms,3.0,1.0,Bungalow,Austin ,120
Bungalow in Austin ,4.92,1 bedroom,1.0,1.0,Bungalow,Austin ,127
Guesthouse in Austin ,4.90,1 bedroom,1.0,1.0,Guesthouse,Austin ,129
Home in Austin ,4.82,4 bedrooms,4.0,3.0,Home,Austin ,999
Home in West Lake Hills ,4.63,4 bedrooms,4.0,3.0,Home,West Lake Hills ,800
Home in Austin ,4.88,4 bedrooms,4.0,2.0,Home,Austin ,249
Home in Austin ,5.0,2 bedrooms,2.0,1.5,Home,Austin ,130
Home in Austin ,4.95,4 bedrooms,5.0,2.5,Home,Austin ,750
Guesthouse in Austin ,4.87,1 bedroom,2.0,1.0,Guesthouse,Austin ,72
Loft in Austin ,5.0,1 bedroom,1.0,1.0,Loft,Austin ,200
Home in Austin ,4.91,2 bedrooms,2.0,1.0,Home,Austin ,136
Home in Austin ,4.96,3 bedrooms,3.0,1.0,Home,Austin ,152
Home in Austin ,4.89,3 bedrooms,5.0,2.5,Home,Austin ,485
Condo in Austin ,4.97,1 bedroom,1.0,1.0,Condo,Austin ,67
Home in Austin ,4.73,1 bedroom,1.0,1.0,Home,Austin ,30
Rental unit in Austin ,4.88,,1.0,1.0,Rental unit,Austin ,250
Home in Austin ,4.96,3 bedrooms,3.0,2.0,Home,Austin ,500
Guesthouse in Austin ,4.94,,1.0,1.0,Guesthouse,Austin ,108
Home in Austin ,4.89,3 bedrooms,5.0,2.5,Home,Austin ,394
Home in Austin ,4.94,2 bedrooms,2.0,1.0,Home,Austin ,165
Home in Austin ,4.97,2 bedrooms,2.0,1.0,Home,Austin ,158
Guesthouse in Austin ,4.61,1 bedroom,1.0,1.0,Guesthouse,Austin ,49
Home in Austin ,,3 bedrooms,2.0,,Home,Austin ,175
Home in Austin ,4.83,2 bedrooms,2.0,1.0,Home,Austin ,201
Home in Austin ,4.67,3 bedrooms,3.0,1.5,Home,Austin ,100
Home in Austin ,5.0,2 bedrooms,2.0,2.0,Home,Austin ,525
Condo in Austin ,4.89,2 bedrooms,2.0,2.0,Condo,Austin ,250
Home in Austin ,4.69,5 bedrooms,1.0,2.5,Home,Austin ,251
Home in Austin ,4.90,3 bedrooms,3.0,2.5,Home,Austin ,350
Rental unit in Austin ,4.77,3 bedrooms,3.0,2.5,Rental unit,Austin ,86
Home in Austin ,4.86,3 bedrooms,3.0,2.0,Home,Austin ,191
Guesthouse in Austin ,4.88,1 bedroom,3.0,1.0,Guesthouse,Austin ,135
Home in Austin ,4.83,1 bedroom,1.0,1.0,Home,Austin ,81
Guesthouse in Austin ,4.82,1 bedroom,2.0,1.0,Guesthouse,Austin ,80
Home in Austin ,5.0,5 bedrooms,5.0,3.0,Home,Austin ,695
Home in Austin ,,3 bedrooms,3.0,2.0,Home,Austin ,600
Home in Austin ,4.89,2 bedrooms,2.0,1.0,Home,Austin ,400
Townhouse in Austin ,4.84,5 bedrooms,9.0,3.5,Townhouse,Austin ,321
Home in Austin ,,2 bedrooms,3.0,1.0,Home,Austin ,694
Home in Austin ,4.84,3 bedrooms,3.0,2.5,Home,Austin ,187
Home in Austin ,4.80,3 bedrooms,5.0,2.0,Home,Austin ,240
Condo in Austin ,4.85,2 bedrooms,2.0,1.0,Condo,Austin ,178
Rental unit in Austin ,,1 bedroom,1.0,1.0,Rental unit,Austin ,99
Home in Austin ,4.75,5 bedrooms,6.0,2.0,Home,Austin ,799
Guesthouse in Austin ,5.0,1 bedroom,1.0,1.0,Guesthouse,Austin ,7098
Home in Austin ,5.0,3 bedrooms,3.0,2.0,Home,Austin ,495
Home in Austin ,4.84,1 bedroom,1.0,0.5,Home,Austin ,68
Place to stay in Austin ,,1 bedroom,1.0,1.0,Place to stay,Austin ,100
Home in Austin ,4.84,5 bedrooms,5.0,3.0,Home,Austin ,256
Home in Austin ,4.91,1 bedroom,1.0,1.5,Home,Austin ,102
Condo in Austin ,,2 bedrooms,2.0,1.0,Condo,Austin ,250
Home in Austin ,,2 bedrooms,2.0,1.0,Home,Austin ,95
Home in Austin ,4.56,2 bedrooms,2.0,2.0,Home,Austin ,149
Home in Austin ,4.79,1 bedroom,2.0,,Home,Austin ,80
Loft in Austin ,,1 bedroom,1.0,1.5,Loft,Austin ,400
Home in Austin ,4.74,2 bedrooms,2.0,1.0,Home,Austin ,50
Home in Austin ,4.72,4 bedrooms,6.0,2.0,Home,Austin ,750
Bungalow in Austin ,4.82,1 bedroom,1.0,1.0,Bungalow,Austin ,178
Home in Austin ,5.0,2 bedrooms,2.0,0.5,Home,Austin ,135
Guesthouse in Austin ,4.93,1 bedroom,1.0,1.0,Guesthouse,Austin ,104
Home in Austin ,5.0,1 bedroom,1.0,1.0,Home,Austin ,44
Guest suite in Austin ,4.89,1 bedroom,1.0,1.0,Guest suite,Austin ,99
Rental unit in Austin ,4.74,,1.0,1.0,Rental unit,Austin ,47
Rental unit in Austin ,4.38,2 bedrooms,3.0,1.0,Rental unit,Austin ,299
Home in Austin ,4.96,3 bedrooms,3.0,2.0,Home,Austin ,209
Bungalow in Austin ,4.93,2 bedrooms,3.0,1.0,Bungalow,Austin ,165
Home in Austin ,4.90,2 bedrooms,3.0,1.0,Home,Austin ,125
Home in Austin ,4.91,3 bedrooms,3.0,2.5,Home,Austin ,525
Home in Austin ,,2 bedrooms,2.0,1.0,Home,Austin ,643
Bungalow in Austin ,4.84,1 bedroom,1.0,1.0,Bungalow,Austin ,121
Guest suite in Austin ,4.67,1 bedroom,1.0,0.5,Guest suite,Austin ,72
Home in Austin ,5.0,3 bedrooms,3.0,3.0,Home,Austin ,825
Home in Austin ,,1 bedroom,1.0,1.0,Home,Austin ,75
Home in Austin ,4.82,4 bedrooms,5.0,3.5,Home,Austin ,575
Rental unit in Austin ,,2 bedrooms,1.0,,Rental unit,Austin ,225
Guesthouse in Austin ,4.90,1 bedroom,2.0,1.0,Guesthouse,Austin ,125
Home in Austin ,5.0,3 bedrooms,3.0,2.5,Home,Austin ,630
Home in Austin ,5.0,2 bedrooms,2.0,2.0,Home,Austin ,248
Rental unit in Austin ,4.85,1 bedroom,1.0,1.0,Rental unit,Austin ,110
Home in Austin ,5.0,3 bedrooms,7.0,,Home,Austin ,1000
Home in Austin ,,1 bedroom,1.0,1.0,Home,Austin ,100
Rental unit in Austin ,4.85,1 bedroom,1.0,1.0,Rental unit,Austin ,97
Home in Austin ,,3 bedrooms,4.0,2.5,Home,Austin ,1050
Home in Austin ,,3 bedrooms,3.0,2.0,Home,Austin ,300
Townhouse in Austin ,4.85,2 bedrooms,5.0,2.5,Townhouse,Austin ,356
Home in Austin ,4.98,2 bedrooms,2.0,1.0,Home,Austin ,190
Cabin in Austin ,4.95,1 bedroom,2.0,1.0,Cabin,Austin ,102
Home in Austin ,,2 bedrooms,1.0,0.0,Home,Austin ,800
Home in Austin ,,2 bedrooms,2.0,1.0,Home,Austin ,625
Cottage in Austin ,4.88,2 bedrooms,1.0,1.0,Cottage,Austin ,65
Home in Austin ,4.82,4 bedrooms,9.0,4.0,Home,Austin ,471
Guest suite in Austin ,4.82,,2.0,1.0,Guest suite,Austin ,83
Home in Austin ,4.94,5 bedrooms,7.0,4.0,Home,Austin ,517
Rental unit in Austin ,4.69,1 bedroom,2.0,1.0,Rental unit,Austin ,225
Home in Austin ,4.88,3 bedrooms,4.0,2.5,Home,Austin ,224
Home in Austin ,4.82,3 bedrooms,4.0,2.5,Home,Austin ,492
Cottage in Austin ,4.75,2 bedrooms,3.0,1.0,Cottage,Austin ,140
Home in Austin ,,4 bedrooms,6.0,4.5,Home,Austin ,2150
Home in Austin ,5.0,2 bedrooms,2.0,2.5,Home,Austin ,160
Rental unit in Austin ,,2 bedrooms,1.0,1.0,Rental unit,Austin ,650
Townhouse in Austin ,5.0,2 bedrooms,2.0,2.5,Townhouse,Austin ,398
Home in Austin ,4.88,1 bedroom,1.0,0.5,Home,Austin ,78
Guest suite in Austin ,4.95,1 bedroom,1.0,1.0,Guest suite,Austin ,155
Rental unit in Austin ,4.67,1 bedroom,2.0,1.5,Rental unit,Austin ,47
Condo in Austin ,4.89,2 bedrooms,3.0,2.0,Condo,Austin ,153
Home in Austin ,,3 bedrooms,3.0,2.0,Home,Austin ,695
Loft in Austin ,4.82,1 bedroom,1.0,2.0,Loft,Austin ,119
Rental unit in Austin ,4.84,1 bedroom,1.0,0.5,Rental unit,Austin ,82
Home in Austin ,4.81,4 bedrooms,5.0,3.0,Home,Austin ,253
Bungalow in Austin ,4.77,2 bedrooms,3.0,1.0,Bungalow,Austin ,112
Home in Austin ,5.0,3 bedrooms,4.0,3.0,Home,Austin ,599
Condo in Austin ,4.94,1 bedroom,1.0,1.0,Condo,Austin ,61
Condo in Austin ,4.96,,1.0,1.0,Condo,Austin ,149
Guesthouse in Austin ,4.97,2 bedrooms,2.0,1.0,Guesthouse,Austin ,289
Home in Austin ,4.93,3 bedrooms,7.0,2.0,Home,Austin ,314
Rental unit in Austin ,,2 bedrooms,2.0,2.0,Rental unit,Austin ,250
Rental unit in Austin ,4.99,1 bedroom,2.0,1.0,Rental unit,Austin ,130
Rental unit in Austin ,4.96,1 bedroom,2.0,1.0,Rental unit,Austin ,130
Guesthouse in Austin ,4.89,2 bedrooms,2.0,1.0,Guesthouse,Austin ,124
Rental unit in Austin ,4.90,1 bedroom,2.0,1.0,Rental unit,Austin ,99
Home in Austin ,4.54,2 bedrooms,2.0,2.0,Home,Austin ,325
Home in Austin ,5.0,3 bedrooms,4.0,2.0,Home,Austin ,255
