home,ratings,bedrooms,beds,baths,house_type,city
Guesthouse in Austin ,4.84,1.0,2.0,['1'],Guesthouse,Austin 
Home in Austin ,4.90,1.0,1.0,0.5,Home,Austin 
Guesthouse in Austin ,4.97,nan,1.0,['1'],Guesthouse,Austin 
Guesthouse in Austin ,4.97,1.0,2.0,['1'],Guesthouse,Austin 
Guest suite in Austin ,4.56,1.0,1.0,['1'],Guest suite,Austin 
Home in Austin ,5.0,2.0,2.0,['2'],Home,Austin 
Bungalow in Austin ,5.0,3.0,2.0,['2'],Bungalow,Austin 
Guesthouse in Austin ,4.94,1.0,1.0,['1'],Guesthouse,Austin 
Guesthouse in Austin ,4.91,2.0,2.0,['1'],Guesthouse,Austin 
Bungalow in Austin ,4.94,2.0,2.0,['1'],Bungalow,Austin 
Home in Austin ,4.87,1.0,1.0,['1'],Home,Austin 
Home in Austin ,4.92,2.0,2.0,['2'],Home,Austin 
Home in Austin ,5.0,1.0,1.0,0.5,Home,Austin 
Condo in Austin ,4.88,2.0,3.0,['1'],Condo,Austin 
Guesthouse in Austin ,4.91,1.0,3.0,['1'],Guesthouse,Austin 
Condo in Austin ,4.96,1.0,2.0,['1.5'],Condo,Austin 
Guesthouse in Austin ,4.98,1.0,1.0,['1'],Guesthouse,Austin 
Guesthouse in Austin ,4.89,1.0,3.0,['1'],Guesthouse,Austin 
Guesthouse in Austin ,4.91,1.0,1.0,['1'],Guesthouse,Austin 
Townhouse in Austin ,4.89,2.0,4.0,['2.5'],Townhouse,Austin 
Rental unit in Austin ,4.88,2.0,2.0,['2'],Rental unit,Austin 
Home in Austin ,4.82,1.0,1.0,['1'],Home,Austin 
Guesthouse in Austin ,4.97,1.0,2.0,['1'],Guesthouse,Austin 
Guest suite in Austin ,4.96,1.0,2.0,['1'],Guest suite,Austin 
Home in Austin ,4.96,5.0,1.0,['3'],Home,Austin 
Home in Austin ,4.94,3.0,5.0,['2'],Home,Austin 
Home in Austin ,,1.0,1.0,['1'],Home,Austin 
Home in Austin ,4.68,2.0,2.0,['1'],Home,Austin 
Home in Austin ,4.99,4.0,4.0,['3'],Home,Austin 
Home in Austin ,4.20,5.0,4.0,['1'],Home,Austin 
Home in Austin ,4.86,3.0,4.0,['1'],Home,Austin 
Home in Austin ,4.98,1.0,1.0,['1'],Home,Austin 
Rental unit in Austin ,4.78,nan,2.0,['1'],Rental unit,Austin 
Guesthouse in Austin ,4.97,1.0,1.0,['1'],Guesthouse,Austin 
Bungalow in Austin ,4.81,2.0,2.0,['1'],Bungalow,Austin 
Bungalow in Austin ,4.71,3.0,3.0,['1'],Bungalow,Austin 
Home in Austin ,4.25,3.0,4.0,['2'],Home,Austin 
Home in Austin ,4.96,1.0,1.0,0.5,Home,Austin 
Condo in Austin ,4.67,2.0,1.0,['1'],Condo,Austin 
Home in Austin ,4.86,4.0,5.0,['2'],Home,Austin 
Home in Austin ,4.73,2.0,3.0,['1'],Home,Austin 
Home in Austin ,4.57,1.0,2.0,0.5,Home,Austin 
Guest suite in Austin ,4.83,1.0,2.0,['1'],Guest suite,Austin 
Home in Austin Texas ,4.97,2.0,3.0,['1'],Home,Austin Texas 
Bed and breakfast in Austin ,4.63,1.0,1.0,['1.5'],Bed and breakfast,Austin 
Townhouse in Austin ,4.93,2.0,2.0,['1'],Townhouse,Austin 
Bungalow in Austin ,4.87,1.0,1.0,['1'],Bungalow,Austin 
Home in Austin ,,3.0,3.0,['1'],Home,Austin 
Home in Austin ,4.94,3.0,3.0,['2'],Home,Austin 
Bungalow in Austin ,4.90,2.0,3.0,['1'],Bungalow,Austin 
Bungalow in Austin ,4.92,1.0,1.0,['1'],Bungalow,Austin 
Guesthouse in Austin ,4.90,1.0,1.0,['1'],Guesthouse,Austin 
Home in Austin ,4.82,4.0,4.0,['3'],Home,Austin 
Home in West Lake Hills ,4.63,4.0,4.0,['3'],Home,West Lake Hills 
Home in Austin ,4.88,4.0,4.0,['2'],Home,Austin 
Home in Austin ,5.0,2.0,2.0,['1.5'],Home,Austin 
Home in Austin ,4.95,4.0,5.0,['2.5'],Home,Austin 
Guesthouse in Austin ,4.87,1.0,2.0,['1'],Guesthouse,Austin 
Loft in Austin ,5.0,1.0,1.0,['1'],Loft,Austin 
Home in Austin ,4.91,2.0,2.0,['1'],Home,Austin 
Home in Austin ,4.96,3.0,3.0,['1'],Home,Austin 
Home in Austin ,4.89,3.0,5.0,['2.5'],Home,Austin 
Condo in Austin ,4.97,1.0,1.0,['1'],Condo,Austin 
Home in Austin ,4.73,1.0,1.0,['1'],Home,Austin 
Rental unit in Austin ,4.88,nan,1.0,['1'],Rental unit,Austin 
Home in Austin ,4.96,3.0,3.0,['2'],Home,Austin 
Guesthouse in Austin ,4.94,nan,1.0,['1'],Guesthouse,Austin 
Home in Austin ,4.89,3.0,5.0,['2.5'],Home,Austin 
Home in Austin ,4.94,2.0,2.0,['1'],Home,Austin 
Home in Austin ,4.97,2.0,2.0,['1'],Home,Austin 
Guesthouse in Austin ,4.61,1.0,1.0,['1'],Guesthouse,Austin 
Home in Austin ,,3.0,2.0,[],Home,Austin 
Home in Austin ,4.83,2.0,2.0,['1'],Home,Austin 
Home in Austin ,4.67,3.0,3.0,['1.5'],Home,Austin 
Home in Austin ,5.0,2.0,2.0,['2'],Home,Austin 
Condo in Austin ,4.89,2.0,2.0,['2'],Condo,Austin 
Home in Austin ,4.69,5.0,1.0,['2.5'],Home,Austin 
Home in Austin ,4.90,3.0,3.0,['2.5'],Home,Austin 
Rental unit in Austin ,4.77,3.0,3.0,['2.5'],Rental unit,Austin 
Home in Austin ,4.86,3.0,3.0,['2'],Home,Austin 
Guesthouse in Austin ,4.88,1.0,3.0,['1'],Guesthouse,Austin 
Home in Austin ,4.83,1.0,1.0,['1'],Home,Austin 
Guesthouse in Austin ,4.82,1.0,2.0,['1'],Guesthouse,Austin 
Home in Austin ,5.0,5.0,5.0,['3'],Home,Austin 
Home in Austin ,,3.0,3.0,['2'],Home,Austin 
Home in Austin ,4.89,2.0,2.0,['1'],Home,Austin 
Townhouse in Austin ,4.84,5.0,9.0,['3.5'],Townhouse,Austin 
Home in Austin ,,2.0,3.0,['1'],Home,Austin 
Home in Austin ,4.84,3.0,3.0,['2.5'],Home,Austin 
Home in Austin ,4.80,3.0,5.0,['2'],Home,Austin 
Condo in Austin ,4.85,2.0,2.0,['1'],Condo,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,4.75,5.0,6.0,['2'],Home,Austin 
Guesthouse in Austin ,5.0,1.0,1.0,['1'],Guesthouse,Austin 
Home in Austin ,5.0,3.0,3.0,['2'],Home,Austin 
Home in Austin ,4.84,1.0,1.0,0.5,Home,Austin 
Place to stay in Austin ,,1.0,1.0,['1'],Place to stay,Austin 
Home in Austin ,4.84,5.0,5.0,['3'],Home,Austin 
Home in Austin ,4.91,1.0,1.0,['1.5'],Home,Austin 
Condo in Austin ,,2.0,2.0,['1'],Condo,Austin 
Home in Austin ,,2.0,2.0,['1'],Home,Austin 
Home in Austin ,4.56,2.0,2.0,['2'],Home,Austin 
Home in Austin ,4.79,1.0,2.0,[],Home,Austin 
Loft in Austin ,,1.0,1.0,['1.5'],Loft,Austin 
Home in Austin ,4.74,2.0,2.0,['1'],Home,Austin 
Home in Austin ,4.72,4.0,6.0,['2'],Home,Austin 
Bungalow in Austin ,4.82,1.0,1.0,['1'],Bungalow,Austin 
Home in Austin ,5.0,2.0,2.0,0.5,Home,Austin 
Guesthouse in Austin ,4.93,1.0,1.0,['1'],Guesthouse,Austin 
Home in Austin ,5.0,1.0,1.0,['1'],Home,Austin 
Guest suite in Austin ,4.89,1.0,1.0,['1'],Guest suite,Austin 
Rental unit in Austin ,4.74,nan,1.0,['1'],Rental unit,Austin 
Rental unit in Austin ,4.38,2.0,3.0,['1'],Rental unit,Austin 
Home in Austin ,4.96,3.0,3.0,['2'],Home,Austin 
Bungalow in Austin ,4.93,2.0,3.0,['1'],Bungalow,Austin 
Home in Austin ,4.90,2.0,3.0,['1'],Home,Austin 
Home in Austin ,4.91,3.0,3.0,['2.5'],Home,Austin 
Home in Austin ,,2.0,2.0,['1'],Home,Austin 
Bungalow in Austin ,4.84,1.0,1.0,['1'],Bungalow,Austin 
Guest suite in Austin ,4.67,1.0,1.0,0.5,Guest suite,Austin 
Home in Austin ,5.0,3.0,3.0,['3'],Home,Austin 
Home in Austin ,,1.0,1.0,['1'],Home,Austin 
Home in Austin ,4.82,4.0,5.0,['3.5'],Home,Austin 
Rental unit in Austin ,,2.0,1.0,[],Rental unit,Austin 
Guesthouse in Austin ,4.90,1.0,2.0,['1'],Guesthouse,Austin 
Home in Austin ,5.0,3.0,3.0,['2.5'],Home,Austin 
Home in Austin ,5.0,2.0,2.0,['2'],Home,Austin 
Rental unit in Austin ,4.85,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,5.0,3.0,7.0,[],Home,Austin 
Home in Austin ,,1.0,1.0,['1'],Home,Austin 
Rental unit in Austin ,4.85,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,,3.0,4.0,['2.5'],Home,Austin 
Home in Austin ,,3.0,3.0,['2'],Home,Austin 
Townhouse in Austin ,4.85,2.0,5.0,['2.5'],Townhouse,Austin 
Home in Austin ,4.98,2.0,2.0,['1'],Home,Austin 
Cabin in Austin ,4.95,1.0,2.0,['1'],Cabin,Austin 
Home in Austin ,,2.0,1.0,['0'],Home,Austin 
Home in Austin ,,2.0,2.0,['1'],Home,Austin 
Cottage in Austin ,4.88,2.0,1.0,['1'],Cottage,Austin 
Home in Austin ,4.82,4.0,9.0,['4'],Home,Austin 
Guest suite in Austin ,4.82,nan,2.0,['1'],Guest suite,Austin 
Home in Austin ,4.94,5.0,7.0,['4'],Home,Austin 
Rental unit in Austin ,4.69,1.0,2.0,['1'],Rental unit,Austin 
Home in Austin ,4.88,3.0,4.0,['2.5'],Home,Austin 
Home in Austin ,4.82,3.0,4.0,['2.5'],Home,Austin 
Cottage in Austin ,4.75,2.0,3.0,['1'],Cottage,Austin 
Home in Austin ,,4.0,6.0,['4.5'],Home,Austin 
Home in Austin ,5.0,2.0,2.0,['2.5'],Home,Austin 
Rental unit in Austin ,,2.0,1.0,['1'],Rental unit,Austin 
Townhouse in Austin ,5.0,2.0,2.0,['2.5'],Townhouse,Austin 
Home in Austin ,4.88,1.0,1.0,0.5,Home,Austin 
Guest suite in Austin ,4.95,1.0,1.0,['1'],Guest suite,Austin 
Rental unit in Austin ,4.67,1.0,2.0,['1.5'],Rental unit,Austin 
Condo in Austin ,4.89,2.0,3.0,['2'],Condo,Austin 
Home in Austin ,,3.0,3.0,['2'],Home,Austin 
Loft in Austin ,4.82,1.0,1.0,['2'],Loft,Austin 
Rental unit in Austin ,4.84,1.0,1.0,0.5,Rental unit,Austin 
Home in Austin ,4.81,4.0,5.0,['3'],Home,Austin 
Bungalow in Austin ,4.77,2.0,3.0,['1'],Bungalow,Austin 
Home in Austin ,5.0,3.0,4.0,['3'],Home,Austin 
Condo in Austin ,4.94,1.0,1.0,['1'],Condo,Austin 
Condo in Austin ,4.96,nan,1.0,['1'],Condo,Austin 
Guesthouse in Austin ,4.97,2.0,2.0,['1'],Guesthouse,Austin 
Home in Austin ,4.93,3.0,7.0,['2'],Home,Austin 
Rental unit in Austin ,,2.0,2.0,['2'],Rental unit,Austin 
Rental unit in Austin ,4.99,1.0,2.0,['1'],Rental unit,Austin 
Rental unit in Austin ,4.96,1.0,2.0,['1'],Rental unit,Austin 
Guesthouse in Austin ,4.89,2.0,2.0,['1'],Guesthouse,Austin 
Rental unit in Austin ,4.90,1.0,2.0,['1'],Rental unit,Austin 
Home in Austin ,4.54,2.0,2.0,['2'],Home,Austin 
Home in Austin ,5.0,3.0,4.0,['2'],Home,Austin 
Home in Austin ,4.98,1.0,1.0,0.5,Home,Austin 
Home in Austin ,4.88,4.0,3.0,['3'],Home,Austin 
Home in Austin ,,1.0,1.0,['1'],Home,Austin 
Condo in Austin ,4.78,1.0,1.0,['1'],Condo,Austin 
Home in Austin ,4.91,3.0,4.0,['1.5'],Home,Austin 
Condo in Austin ,3.75,1.0,1.0,['1'],Condo,Austin 
Home in Austin ,4.77,3.0,3.0,['2'],Home,Austin 
Home in Austin ,4.87,2.0,2.0,['1.5'],Home,Austin 
Guesthouse in Austin ,4.83,1.0,1.0,['1'],Guesthouse,Austin 
Home in Austin ,5.0,1.0,1.0,['2'],Home,Austin 
Condo in Austin ,4.93,1.0,2.0,['1'],Condo,Austin 
